Region,ModelType,SizeClass,EqName,a,b,c,d,e
"Orlando, Florida",age_to_dbh,L,Cubic,-4.054178,2.503642,-0.0014899999999999996,-0.00011599999999999997,
"Orlando, Florida",age_to_dbh,L,Linear,-0.17725000000000002,1.935785,,,
"Orlando, Florida",age_to_dbh,L,LogLogw1,0.7169966666666667,2.672131666666667,0.0456375,,
"Orlando, Florida",age_to_dbh,L,LogLogw3,0.493514813,2.550671555,0.004334238,,
"Orlando, Florida",age_to_dbh,L,Quadratic,-1.7777247826086957,2.6947121739130435,-0.01512,,
"Orlando, Florida",age_to_dbh,M,Cubic,-9.74097,7.50867,-0.4091,0.00767,
"Orlando, Florida",age_to_dbh,M,Linear,5.042065,1.925495,,,
"Orlando, Florida",age_to_dbh,M,Quadratic,-2.76632,3.70913,-0.04597,,
"Orlando, Florida",dbh_to_canopy,L,Cubic,6.32374,-1.3445299999999998,0.46950500000000006,-0.00669,
"Orlando, Florida",dbh_to_canopy,L,LogLogw1,-3.0080925,6.4026084375,0.30478218749999997,,
"Orlando, Florida",dbh_to_canopy,L,LogLogw2,-0.94576,4.31015,0.07001,,
"Orlando, Florida",dbh_to_canopy,L,Quadratic,-8.2573935,3.5643315,0.1144915,,
"Orlando, Florida",dbh_to_canopy,M,LogLogw1,-3.161154285714286,5.7006757142857145,0.7906371428571427,,
"Orlando, Florida",dbh_to_canopy,M,LogLogw2,0.54925,3.49228,0.06839,,
"Charleston, South Carolina",age_to_dbh,L,Cubic,2.6999666666666666,0.9383866666666666,0.03923,-0.00063,
"Charleston, South Carolina",age_to_dbh,L,Linear,2.5319365700689653,1.5051404356551723,,,
"Charleston, South Carolina",age_to_dbh,L,Quadratic,2.3560385714285714,1.8726207142857143,-0.01202892857142857,,
"Charleston, South Carolina",age_to_dbh,M,Cubic,2.53924,0.07682,0.08877,-0.00172,
"Charleston, South Carolina",age_to_dbh,M,Linear,3.85142,1.17328,,,
"Charleston, South Carolina",age_to_dbh,M,LogLogw1,0.96778,1.85836,0.08767,,
"Charleston, South Carolina",dbh_to_canopy,L,Cubic,-0.27863,2.31136,1.50028,-0.15086,
"Charleston, South Carolina",dbh_to_canopy,L,Expow1,0.74144,0.10207,0.83082,,
"Charleston, South Carolina",dbh_to_canopy,L,LogLogw1,-6.05094,8.20334,0.47867035714285716,,
"Charleston, South Carolina",dbh_to_canopy,L,LogLogw2,-7.095533333333333,9.023873333333334,0.06708,,
"Charleston, South Carolina",dbh_to_canopy,L,LogLogw3,-7.06568,9.05533,0.01204,,
"Charleston, South Carolina",dbh_to_canopy,L,Quadratic,2.4791600000000003,-0.778385,0.105572,,
